"분류","평균","오전","낮","오후"
"전체",23.8,26,23.8,20.4
"강남",24.2,26.4,24.5,20.4
"강북",23.3,25.6,23.2,20.3
"종로구",22.7,26,21.8,19.7
"중구",19.6,23.8,18.3,16.4
"용산구",26.5,30.1,26.4,21.9
"성동구",24.9,27.1,25,21.8
"광진구",24.9,26.9,25.4,21.7
"동대문구",24,25.6,23.8,21.6
"중랑구",23.5,25.8,23.9,20.2
"성북구",23.9,25.6,24,20.8
"강북구",21.5,23.3,21.3,19.5
"도봉구",21.6,23.6,21.5,19.2
"노원구",23.3,24.8,23.3,20.7
"은평구",21.4,23.4,21.3,19
"서대문구",23.1,24.5,23.3,20.2
"마포구",24.2,26.7,24.2,21.2
"양천구",25.4,25.9,26.2,22.4
"강서구",23.2,24.4,23.7,20
"구로구",22.8,24.1,23.6,19
"금천구",22.5,24.8,22.9,18
"영등포구",23.8,25.9,24,20.4
"동작구",26.3,28,26.7,22.8
"관악구",25.1,27.2,25.2,22.3
"서초구",26.1,29.4,26.1,20.7
"강남구",24.4,28.6,24.2,19.4
"송파구",24.3,26,24.4,21.8
"강동구",23.4,24.7,23.6,21.1
